indice_tiempo,alcance_nombre,alcance_tipo,sup_sembrada_algodon,sup_cosechada_algodon,prod_algodon
2010-12-31,TUCUMAN,PROVINCIA,0,0,0
2011-12-31,TUCUMAN,PROVINCIA,0,0,0
2012-12-31,TUCUMAN,PROVINCIA,0,0,0
2013-12-31,TUCUMAN,PROVINCIA,0,0,0
2014-12-31,TUCUMAN,PROVINCIA,0,0,0
2015-12-31,TUCUMAN,PROVINCIA,0,0,0
2016-12-31,TUCUMAN,PROVINCIA,0,0,0
1990-12-31,CATAMARCA,PROVINCIA,0,0,0
1991-12-31,CATAMARCA,PROVINCIA,0,0,0
1992-12-31,CATAMARCA,PROVINCIA,1000,1000,3625
1993-12-31,CATAMARCA,PROVINCIA,1850,1850,2400
1994-12-31,CATAMARCA,PROVINCIA,1900,1900,4800
1995-12-31,CATAMARCA,PROVINCIA,1700,1700,4280
1996-12-31,CATAMARCA,PROVINCIA,2300,2300,4600
1997-12-31,CATAMARCA,PROVINCIA,2500,2500,6250
1998-12-31,CATAMARCA,PROVINCIA,3500,3500,10500
1999-12-31,CATAMARCA,PROVINCIA,3000,3000,7500
2000-12-31,CATAMARCA,PROVINCIA,1500,1350,3915
2001-12-31,CATAMARCA,PROVINCIA,350,350,875
2002-12-31,CATAMARCA,PROVINCIA,230,230,700
2003-12-31,CATAMARCA,PROVINCIA,400,310,1085
2004-12-31,CATAMARCA,PROVINCIA,400,350,1050
2005-12-31,CATAMARCA,PROVINCIA,500,500,1750
2006-12-31,CATAMARCA,PROVINCIA,0,0,0
2007-12-31,CATAMARCA,PROVINCIA,0,0,0
2008-12-31,CATAMARCA,PROVINCIA,0,0,0
2009-12-31,CATAMARCA,PROVINCIA,300,260,910
2010-12-31,CATAMARCA,PROVINCIA,500,500,1600
2011-12-31,CATAMARCA,PROVINCIA,500,500,1500
2012-12-31,CATAMARCA,PROVINCIA,60,60,110
2013-12-31,CATAMARCA,PROVINCIA,0,0,0
2014-12-31,CATAMARCA,PROVINCIA,0,0,0
2015-12-31,CATAMARCA,PROVINCIA,0,0,0
2016-12-31,CATAMARCA,PROVINCIA,0,0,0
1990-12-31,CHACO,PROVINCIA,380200,380200,684200
1991-12-31,CHACO,PROVINCIA,456000,367000,568850
1992-12-31,CHACO,PROVINCIA,438000,385000,481750
1993-12-31,CHACO,PROVINCIA,255800,211200,316800
1994-12-31,CHACO,PROVINCIA,335500,335500,491600
1995-12-31,CHACO,PROVINCIA,498000,428000,705300
1996-12-31,CHACO,PROVINCIA,613500,594300,832010
1997-12-31,CHACO,PROVINCIA,612000,556500,622700
1998-12-31,CHACO,PROVINCIA,712000,507000,518928
1999-12-31,CHACO,PROVINCIA,430000,395000,371844
2000-12-31,CHACO,PROVINCIA,198000,193000,235878
2001-12-31,CHACO,PROVINCIA,272000,262450,337670
2002-12-31,CHACO,PROVINCIA,93000,87850,113330
2003-12-31,CHACO,PROVINCIA,85000,79500,105735
2004-12-31,CHACO,PROVINCIA,160000,152000,204950
2005-12-31,CHACO,PROVINCIA,252500,237500,285200
2006-12-31,CHACO,PROVINCIA,2e+05,2e+05,266000
2007-12-31,CHACO,PROVINCIA,265640,257120,329417
2008-12-31,CHACO,PROVINCIA,190000,184995,277525
2009-12-31,CHACO,PROVINCIA,195290,190300,226799
2010-12-31,CHACO,PROVINCIA,336300,297050,434080
2011-12-31,CHACO,PROVINCIA,403600,392995,517215
2012-12-31,CHACO,PROVINCIA,260470,220895,270756
2013-12-31,CHACO,PROVINCIA,147200,139130,191980
2014-12-31,CHACO,PROVINCIA,297600,285245,485454
2015-12-31,CHACO,PROVINCIA,252300,233115,296475
2016-12-31,CHACO,PROVINCIA,185800,179640,265534
2017-12-31,CHACO,PROVINCIA,73930,68435,136244
1990-12-31,FORMOSA,PROVINCIA,70000,70000,105000
1991-12-31,FORMOSA,PROVINCIA,77000,72000,86480
1992-12-31,FORMOSA,PROVINCIA,60000,38000,38000
1993-12-31,FORMOSA,PROVINCIA,15000,10000,9000
1994-12-31,FORMOSA,PROVINCIA,35000,30000,42000
1995-12-31,FORMOSA,PROVINCIA,31250,26690,35500
1996-12-31,FORMOSA,PROVINCIA,55000,47600,47143
1997-12-31,FORMOSA,PROVINCIA,21000,16000,19680
1998-12-31,FORMOSA,PROVINCIA,40000,24000,36775
1999-12-31,FORMOSA,PROVINCIA,30000,19500,17550
